"idSubj";"age";"gender";"condition";"idPicture";"rating"
"subj1";15.0401708520949;"F";"animal";"anim1";75
"subj1";15.0401708520949;"F";"animal";"anim2";91
"subj1";15.0401708520949;"F";"animal";"anim3";76
"subj1";15.0401708520949;"F";"animal";"anim4";68
"subj1";15.0401708520949;"F";"animal";"anim5";65
"subj1";15.0401708520949;"F";"animal";"anim6";60
"subj1";15.0401708520949;"F";"animal";"anim7";70
"subj1";15.0401708520949;"F";"animal";"anim8";86
"subj1";15.0401708520949;"F";"animal";"anim9";68
"subj1";15.0401708520949;"F";"animal";"anim10";90
"subj1";15.0401708520949;"F";"animal";"anim11";82
"subj1";15.0401708520949;"F";"animal";"anim12";80
"subj1";15.0401708520949;"F";"animal";"anim13";76
"subj1";15.0401708520949;"F";"animal";"anim14";83
"subj1";15.0401708520949;"F";"animal";"anim15";69
"subj1";15.0401708520949;"F";"animal";"anim16";57
"subj1";15.0401708520949;"F";"animal";"anim17";69
"subj1";15.0401708520949;"F";"animal";"anim18";72
"subj1";15.0401708520949;"F";"animal";"anim19";68
"subj1";15.0401708520949;"F";"animal";"anim20";80
"subj1";15.0401708520949;"F";"landscape";"land21";67
"subj1";15.0401708520949;"F";"landscape";"land22";71
"subj1";15.0401708520949;"F";"landscape";"land23";78
"subj1";15.0401708520949;"F";"landscape";"land24";71
"subj1";15.0401708520949;"F";"landscape";"land25";70
"subj1";15.0401708520949;"F";"landscape";"land26";76
"subj1";15.0401708520949;"F";"landscape";"land27";63
"subj1";15.0401708520949;"F";"landscape";"land28";73
"subj1";15.0401708520949;"F";"landscape";"land29";74
"subj1";15.0401708520949;"F";"landscape";"land30";65
"subj1";15.0401708520949;"F";"landscape";"land31";78
"subj1";15.0401708520949;"F";"landscape";"land32";77
"subj1";15.0401708520949;"F";"landscape";"land33";68
"subj1";15.0401708520949;"F";"landscape";"land34";66
"subj1";15.0401708520949;"F";"landscape";"land35";61
"subj1";15.0401708520949;"F";"landscape";"land36";71
"subj1";15.0401708520949;"F";"landscape";"land37";62
"subj1";15.0401708520949;"F";"landscape";"land38";74
"subj1";15.0401708520949;"F";"landscape";"land39";78
"subj1";15.0401708520949;"F";"landscape";"land40";61
"subj2";8.13298973394558;"F";"animal";"anim1";76
"subj2";8.13298973394558;"F";"animal";"anim2";86
"subj2";8.13298973394558;"F";"animal";"anim3";75
"subj2";8.13298973394558;"F";"animal";"anim4";60
"subj2";8.13298973394558;"F";"animal";"anim5";58
"subj2";8.13298973394558;"F";"animal";"anim6";64
"subj2";8.13298973394558;"F";"animal";"anim7";75
"subj2";8.13298973394558;"F";"animal";"anim8";84
"subj2";8.13298973394558;"F";"animal";"anim9";70
"subj2";8.13298973394558;"F";"animal";"anim10";88
"subj2";8.13298973394558;"F";"animal";"anim11";65
"subj2";8.13298973394558;"F";"animal";"anim12";78
"subj2";8.13298973394558;"F";"animal";"anim13";77
"subj2";8.13298973394558;"F";"animal";"anim14";86
"subj2";8.13298973394558;"F";"animal";"anim15";66
"subj2";8.13298973394558;"F";"animal";"anim16";64
"subj2";8.13298973394558;"F";"animal";"anim17";70
"subj2";8.13298973394558;"F";"animal";"anim18";72
"subj2";8.13298973394558;"F";"animal";"anim19";66
"subj2";8.13298973394558;"F";"animal";"anim20";72
"subj2";8.13298973394558;"F";"landscape";"land21";60
"subj2";8.13298973394558;"F";"landscape";"land22";64
"subj2";8.13298973394558;"F";"landscape";"land23";71
"subj2";8.13298973394558;"F";"landscape";"land24";67
"subj2";8.13298973394558;"F";"landscape";"land25";62
"subj2";8.13298973394558;"F";"landscape";"land26";59
"subj2";8.13298973394558;"F";"landscape";"land27";51
"subj2";8.13298973394558;"F";"landscape";"land28";72
"subj2";8.13298973394558;"F";"landscape";"land29";60
"subj2";8.13298973394558;"F";"landscape";"land30";57
"subj2";8.13298973394558;"F";"landscape";"land31";71
"subj2";8.13298973394558;"F";"landscape";"land32";73
"subj2";8.13298973394558;"F";"landscape";"land33";56
"subj2";8.13298973394558;"F";"landscape";"land34";57
"subj2";8.13298973394558;"F";"landscape";"land35";54
"subj2";8.13298973394558;"F";"landscape";"land36";62
"subj2";8.13298973394558;"F";"landscape";"land37";61
"subj2";8.13298973394558;"F";"landscape";"land38";74
"subj2";8.13298973394558;"F";"landscape";"land39";74
"subj2";8.13298973394558;"F";"landscape";"land40";53
"subj3";6.41435991413891;"M";"animal";"anim1";76
"subj3";6.41435991413891;"M";"animal";"anim2";91
"subj3";6.41435991413891;"M";"animal";"anim3";93
"subj3";6.41435991413891;"M";"animal";"anim4";75
"subj3";6.41435991413891;"M";"animal";"anim5";69
"subj3";6.41435991413891;"M";"animal";"anim6";77
"subj3";6.41435991413891;"M";"animal";"anim7";84
"subj3";6.41435991413891;"M";"animal";"anim8";93
"subj3";6.41435991413891;"M";"animal";"anim9";85
"subj3";6.41435991413891;"M";"animal";"anim10";96
"subj3";6.41435991413891;"M";"animal";"anim11";83
"subj3";6.41435991413891;"M";"animal";"anim12";92
"subj3";6.41435991413891;"M";"animal";"anim13";86
"subj3";6.41435991413891;"M";"animal";"anim14";98
"subj3";6.41435991413891;"M";"animal";"anim15";83
"subj3";6.41435991413891;"M";"animal";"anim16";74
"subj3";6.41435991413891;"M";"animal";"anim17";87
"subj3";6.41435991413891;"M";"animal";"anim18";89
"subj3";6.41435991413891;"M";"animal";"anim19";83
"subj3";6.41435991413891;"M";"animal";"anim20";92
"subj3";6.41435991413891;"M";"landscape";"land21";73
"subj3";6.41435991413891;"M";"landscape";"land22";78
"subj3";6.41435991413891;"M";"landscape";"land23";91
"subj3";6.41435991413891;"M";"landscape";"land24";72
"subj3";6.41435991413891;"M";"landscape";"land25";77
"subj3";6.41435991413891;"M";"landscape";"land26";71
"subj3";6.41435991413891;"M";"landscape";"land27";69
"subj3";6.41435991413891;"M";"landscape";"land28";87
"subj3";6.41435991413891;"M";"landscape";"land29";71
"subj3";6.41435991413891;"M";"landscape";"land30";67
"subj3";6.41435991413891;"M";"landscape";"land31";87
"subj3";6.41435991413891;"M";"landscape";"land32";88
"subj3";6.41435991413891;"M";"landscape";"land33";65
"subj3";6.41435991413891;"M";"landscape";"land34";74
"subj3";6.41435991413891;"M";"landscape";"land35";71
"subj3";6.41435991413891;"M";"landscape";"land36";81
"subj3";6.41435991413891;"M";"landscape";"land37";68
"subj3";6.41435991413891;"M";"landscape";"land38";90
"subj3";6.41435991413891;"M";"landscape";"land39";83
"subj3";6.41435991413891;"M";"landscape";"land40";65
"subj4";12.9306435924955;"F";"animal";"anim1";86
"subj4";12.9306435924955;"F";"animal";"anim2";92
"subj4";12.9306435924955;"F";"animal";"anim3";94
"subj4";12.9306435924955;"F";"animal";"anim4";70
"subj4";12.9306435924955;"F";"animal";"anim5";64
"subj4";12.9306435924955;"F";"animal";"anim6";71
"subj4";12.9306435924955;"F";"animal";"anim7";83
"subj4";12.9306435924955;"F";"animal";"anim8";93
"subj4";12.9306435924955;"F";"animal";"anim9";82
"subj4";12.9306435924955;"F";"animal";"anim10";91
"subj4";12.9306435924955;"F";"animal";"anim11";77
"subj4";12.9306435924955;"F";"animal";"anim12";94
"subj4";12.9306435924955;"F";"animal";"anim13";80
"subj4";12.9306435924955;"F";"animal";"anim14";92
"subj4";12.9306435924955;"F";"animal";"anim15";78
"subj4";12.9306435924955;"F";"animal";"anim16";69
"subj4";12.9306435924955;"F";"animal";"anim17";80
"subj4";12.9306435924955;"F";"animal";"anim18";83
"subj4";12.9306435924955;"F";"animal";"anim19";76
"subj4";12.9306435924955;"F";"animal";"anim20";79
"subj4";12.9306435924955;"F";"landscape";"land21";64
"subj4";12.9306435924955;"F";"landscape";"land22";80
"subj4";12.9306435924955;"F";"landscape";"land23";80
"subj4";12.9306435924955;"F";"landscape";"land24";68
"subj4";12.9306435924955;"F";"landscape";"land25";72
