"idClass";"idSubj";"Gender";"Age";"MathAnx";"Condition";"idItem";"Type";"Correct"
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item48";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item47";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item46";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item45";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item44";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item43";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item42";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item41";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item40";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item39";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item38";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item37";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item36";"Subtraction";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item35";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item34";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item33";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item32";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item31";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item30";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item29";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item28";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item27";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item26";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"Baseline";"item25";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item24";"Subtraction";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item23";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item22";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item21";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item20";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item19";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item18";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item17";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item16";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item15";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item14";"Subtraction";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item13";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item12";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item11";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item10";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item9";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item8";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item7";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item6";"Subtraction";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item5";"Addition";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item4";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item3";"Addition";0
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item2";"Subtraction";1
"cl1";"faz0";"F";9.6;-0.270545317376879;"TimePressure";"item1";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item1";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item2";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item3";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item4";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item5";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item6";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item7";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item8";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item9";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item10";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item11";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item12";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item13";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item14";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item15";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item16";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item17";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item18";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item19";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item20";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item21";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item22";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item23";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"Baseline";"item24";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item25";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item26";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item27";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item28";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item29";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item30";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item31";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item32";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item33";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item34";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item35";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item36";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item37";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item38";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item39";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item40";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item41";"Addition";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item42";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item43";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item44";"Subtraction";0
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item45";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item46";"Subtraction";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item47";"Addition";1
"cl1";"ith1";"F";9.9;0.18146309938698;"TimePressure";"item48";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item48";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item47";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item46";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item45";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item44";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item43";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item42";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item41";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item40";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item39";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item38";"Subtraction";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item37";"Addition";1
"cl1";"ndy2";"M";9.7;0.377938018589499;"Baseline";"item36";"Subtraction";1
